Name,Email,Location,Job Title,Job Type,Education,Employment Type,Practice Size,Area Type,Sponsorship,English Proficiency,Compensation
Lisa Rosales,ericrobinson@example.org,"New York, NY",Endodontist,Private Practice,DMD with Specialization,Part-time,Small,Urban,No,5,134052.99
Paula Martinez,erinrodriguez@example.net,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,Full-time,Small,Rural,No,2,117409.9
Robert Barnes,jdominguez@example.org,"New York, NY",Periodontist,Private Practice,DMD with Specialization,Part-time,Small,Urban,Yes,5,91905.48
Dennis Campbell,tinawalsh@example.net,"Houston, TX",Periodontist,Private Practice,DDS,Full-time,Small,Urban,No,4,93622.09
Regina Frye,nashmaria@example.net,"New York, NY",Endodontist,DSO,DDS,Part-time,Large,Rural,No,5,106283.42
Jennifer Tapia,ashleyjimenez@example.org,"Houston, TX",Periodontist,DSO,DMD with Specialization,Temporary,Large,Urban,No,1,144777.09
Jenny Pratt,heathshannon@example.com,"Phoenix, AZ",General Dentist,DSO,DMD with Specialization,Contract,Large,Rural,Yes,4,99049.98
Rachel Harris,mcdonaldjohn@example.com,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,Part-time,Large,Rural,No,2,134224.01
Anthony Ruiz,michellelittle@example.org,"New York, NY",General Dentist,Private Practice,DMD with Specialization,Temporary,Large,Urban,Yes,2,90965.08
David Knox,kristen54@example.org,"Houston, TX",Endodontist,Private Practice,DDS,Part-time,Medium,Rural,Yes,1,120067.68
Caleb Hamilton,robin34@example.org,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,Part-time,Medium,Urban,No,4,102595.27
Michelle Patel,jamesfisher@example.org,"Los Angeles, CA",Periodontist,Private Practice,DMD,Part-time,Large,Urban,No,4,118784.34
Melissa Rivera,sarahmitchell@example.org,"Chicago, IL",Periodontist,Private Practice,DDS with Specialization,Full-time,Medium,Rural,No,1,80782.85
Mr. Scott Schroeder,ashley78@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD,Temporary,Medium,Rural,No,1,138822.28
Kara Lewis,dwhite@example.com,"Houston, TX",Orthodontist,DSO,DDS,Part-time,Medium,Urban,Yes,2,99054.6
Christopher Dorsey,dana16@example.com,"Chicago, IL",Endodontist,DSO,DDS,Temporary,Small,Rural,No,5,112677.68
Ryan Young,charles14@example.org,"New York, NY",Periodontist,Private Practice,DDS,Contract,Small,Rural,Yes,2,90524.35
Gary Garcia,xshaffer@example.com,"New York, NY",Endodontist,DSO,DMD with Specialization,Contract,Medium,Urban,No,2,99172.2
Jose Cross,brianmorris@example.net,"Los Angeles, CA",General Dentist,DSO,DMD with Specialization,Full-time,Medium,Rural,Yes,1,116294.57
Kevin Gregory,robert58@example.net,"Chicago, IL",Pedodontist,Private Practice,DMD,Part-time,Medium,Urban,No,4,91190.57
Molly Barnett,michelle11@example.org,"New York, NY",Endodontist,Private Practice,DMD,Part-time,Small,Rural,No,2,82725.95
Pedro Adkins,gilmoredeborah@example.net,"Phoenix, AZ",Orthodontist,DSO,DDS,Contract,Medium,Urban,Yes,4,138423.02
Nicole Day,ivaughan@example.org,"Los Angeles, CA",General Dentist,DSO,DMD with Specialization,Part-time,Large,Urban,No,4,105523.91
Deborah Reynolds,ginaperez@example.com,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,Full-time,Medium,Urban,Yes,5,120061.41
Bridget Navarro,georgeallen@example.org,"Phoenix, AZ",Endodontist,DSO,DMD with Specialization,Contract,Medium,Urban,No,3,93219.29
Matthew Humphrey,lisaallen@example.net,"Chicago, IL",Periodontist,DSO,DMD,Temporary,Medium,Rural,Yes,3,93283.94
Dwayne Hall,kennedykelly@example.com,"Chicago, IL",Endodontist,Private Practice,DDS,Contract,Medium,Urban,No,1,125398.1
Patrick Perry,iwilliams@example.com,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,Temporary,Small,Urban,Yes,3,122202.59
Lisa Carey,michaelhale@example.com,"Chicago, IL",Endodontist,DSO,DMD,Contract,Small,Rural,No,1,109618.19
Daniel Williams,brandon32@example.com,"Houston, TX",Periodontist,Private Practice,DDS,Full-time,Large,Urban,Yes,3,140661.97
Amanda Joseph,candiceenglish@example.net,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,Temporary,Medium,Urban,No,5,82581.42
Karen Decker,elizabethjensen@example.net,"Los Angeles, CA",Orthodontist,DSO,DDS,Part-time,Small,Urban,Yes,3,108313.86
Raymond Vasquez,xparsons@example.com,"Los Angeles, CA",General Dentist,DSO,DDS with Specialization,Full-time,Medium,Rural,Yes,5,103846.91
Shannon Nguyen,jordanthompson@example.com,"Houston, TX",Orthodontist,DSO,DMD with Specialization,Part-time,Medium,Rural,No,5,119638.91
Jerome Ross,amandaroberts@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,Contract,Large,Rural,Yes,5,142608.18
Jamie Sawyer,pward@example.org,"Chicago, IL",Endodontist,DSO,DDS with Specialization,Part-time,Medium,Rural,No,3,128902.41
Matthew Vargas,nicholsheidi@example.com,"Houston, TX",General Dentist,Private Practice,DMD,Contract,Medium,Urban,No,2,138721.83
Kristina Murray,ngonzalez@example.org,"Los Angeles, CA",Periodontist,Private Practice,DMD,Part-time,Medium,Rural,Yes,5,93996.86
Donald Fisher,michael29@example.org,"New York, NY",Endodontist,DSO,DMD,Temporary,Large,Rural,No,4,145192.24
Kristie Rogers,oneal@example.org,"New York, NY",Periodontist,DSO,DMD,Temporary,Medium,Rural,No,2,118044.01
Hannah Russell,joseph47@example.net,"Chicago, IL",General Dentist,DSO,DMD,Part-time,Medium,Urban,No,5,134697.45
Jennifer Terrell,reginataylor@example.org,"New York, NY",Orthodontist,DSO,DMD with Specialization,Full-time,Medium,Urban,Yes,3,102847.83
Dean Mitchell,ojacobson@example.org,"Chicago, IL",Pedodontist,DSO,DMD with Specialization,Contract,Large,Rural,Yes,2,93442.28
Erin Goodwin,sydneywhite@example.org,"Houston, TX",Endodontist,Private Practice,DMD with Specialization,Temporary,Medium,Urban,No,3,84978.48
Lynn Heath,xjenkins@example.net,"New York, NY",Orthodontist,DSO,DDS with Specialization,Full-time,Small,Urban,No,4,93330.05
Erin Jones,pthomas@example.com,"New York, NY",Endodontist,Private Practice,DDS with Specialization,Part-time,Large,Rural,No,2,130038.95
Andrew Anderson,josephchurch@example.com,"Houston, TX",Endodontist,Private Practice,DMD with Specialization,Temporary,Small,Urban,No,2,89604.59
Brent Nichols,bakerkatherine@example.org,"Chicago, IL",Endodontist,Private Practice,DMD,Part-time,Large,Rural,No,2,132208.57
Heather Adkins,daniellebarber@example.net,"Houston, TX",Endodontist,DSO,DDS,Full-time,Large,Urban,Yes,2,121852.13
Erika Bullock,paulbrown@example.net,"Houston, TX",Periodontist,DSO,DMD with Specialization,Part-time,Large,Rural,No,3,91767.86
Richard Sanders,floresbobby@example.org,"New York, NY",Endodontist,DSO,DMD with Specialization,Temporary,Large,Urban,Yes,3,104765.09
Mrs. Lisa Castro,sandovalrobert@example.com,"Los Angeles, CA",Periodontist,DSO,DMD,Contract,Large,Urban,Yes,5,137752.01
Felicia Ortiz,debbiekim@example.net,"Houston, TX",Periodontist,DSO,DDS,Part-time,Medium,Urban,No,3,97182.4
Jessica Santiago,erikmalone@example.net,"Phoenix, AZ",Periodontist,DSO,DMD,Full-time,Medium,Urban,No,2,100153.98
Sean Sanchez,erik77@example.com,"Chicago, IL",Periodontist,Private Practice,DMD with Specialization,Full-time,Medium,Urban,Yes,5,117978.5
Christopher Ross,jwashington@example.com,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,Contract,Medium,Urban,Yes,3,116989.47
Joann Wallace,stacylewis@example.net,"Phoenix, AZ",Periodontist,DSO,DMD,Part-time,Large,Urban,Yes,2,86863.22
Kevin Jensen,denise26@example.com,"Los Angeles, CA",General Dentist,DSO,DMD with Specialization,Full-time,Medium,Urban,No,3,92294.91
Angela Fox,fdelgado@example.com,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,Part-time,Large,Rural,Yes,5,88669.03
Isaiah Garcia,wendy46@example.com,"Los Angeles, CA",Endodontist,Private Practice,DMD with Specialization,Contract,Large,Rural,No,4,103907.9
Andrew Pena,scottelliott@example.net,"Los Angeles, CA",Orthodontist,Private Practice,DDS,Contract,Medium,Urban,No,1,125206.67
Emily Johnson,jonesdaniel@example.net,"Chicago, IL",General Dentist,Private Practice,DMD,Part-time,Medium,Rural,Yes,5,112046.24
Sean Mueller,patriciamoore@example.com,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,Temporary,Large,Rural,Yes,3,105406.9
Emily Smith,webbwesley@example.net,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,Contract,Medium,Urban,Yes,5,98789.45
Andrew James,heather93@example.org,"Houston, TX",Periodontist,DSO,DDS with Specialization,Contract,Small,Urban,No,4,118688.57
Allen Brown,fwashington@example.com,"Phoenix, AZ",Endodontist,Private Practice,DMD,Full-time,Large,Urban,No,5,96819.29
Ann Moon,ethanhester@example.com,"Houston, TX",Pedodontist,Private Practice,DMD,Temporary,Small,Urban,No,5,88554.09
Katelyn Delgado,sheila63@example.org,"Chicago, IL",General Dentist,Private Practice,DDS,Temporary,Medium,Urban,No,1,113420.37
Travis Reid,mcdonaldlisa@example.com,"New York, NY",Pedodontist,Private Practice,DMD,Full-time,Small,Rural,Yes,5,104058.74
Lisa Lee,stanleygary@example.net,"Chicago, IL",General Dentist,Private Practice,DMD,Full-time,Medium,Rural,No,1,126274.7
Dawn Williamson,xross@example.com,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,Temporary,Small,Urban,Yes,4,101604.4
Mr. Joseph Graves,stephanieturner@example.net,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,Temporary,Medium,Urban,Yes,1,92600.08
Cristina Ramsey,terri93@example.net,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,Contract,Small,Rural,Yes,5,88910.98
Bradley Evans,hillmelissa@example.com,"Houston, TX",Orthodontist,Private Practice,DMD with Specialization,Full-time,Large,Rural,No,4,104515.39
Gregory Smith,egood@example.net,"Houston, TX",Pedodontist,Private Practice,DDS,Full-time,Medium,Urban,Yes,2,118863.86
Michael Jones,longteresa@example.com,"Los Angeles, CA",Orthodontist,DSO,DMD,Part-time,Medium,Rural,No,2,103464.3
Paula Kelly,rebecca77@example.org,"Chicago, IL",General Dentist,DSO,DDS with Specialization,Full-time,Medium,Urban,Yes,3,85543.05
Nancy Riddle,mshepherd@example.com,"Los Angeles, CA",Endodontist,DSO,DMD with Specialization,Full-time,Large,Urban,No,2,130746.47
Jack Cummings,angela58@example.net,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,Temporary,Small,Rural,No,1,124130.13
Bryan Lewis,raypatricia@example.org,"New York, NY",Periodontist,DSO,DMD,Full-time,Large,Rural,No,5,137240.01
Lisa Sanchez,kevans@example.org,"Houston, TX",General Dentist,DSO,DMD,Contract,Small,Rural,Yes,3,80841.55
Susan Cowan,zcoleman@example.org,"Houston, TX",Orthodontist,DSO,DDS with Specialization,Part-time,Large,Rural,No,4,125484.26
Stephanie Williams,zmacias@example.com,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,Part-time,Large,Urban,Yes,5,143243.41
Kevin Hancock,jesusraymond@example.org,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,Contract,Small,Urban,No,4,146692.18
Vicki Vazquez,jerryday@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD,Temporary,Small,Rural,No,3,148461.31
Joseph Bailey,christopher93@example.net,"Chicago, IL",Pedodontist,DSO,DDS,Temporary,Large,Rural,Yes,4,135346.86
Courtney Nixon,rachel08@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,Contract,Medium,Rural,No,5,101167.36
Joseph Wang,martinkristen@example.com,"New York, NY",Periodontist,DSO,DMD,Full-time,Small,Urban,Yes,5,97192.65
John Chang,elizabethcarter@example.com,"Phoenix, AZ",Endodontist,DSO,DDS,Contract,Small,Rural,No,1,125050.37
Bryan Miller,gregory34@example.com,"Houston, TX",General Dentist,DSO,DDS with Specialization,Temporary,Small,Urban,No,4,98472.44
Scott Beltran,hbradley@example.com,"Phoenix, AZ",Orthodontist,DSO,DMD with Specialization,Temporary,Medium,Urban,No,2,134020.06
William Alexander,ehoward@example.com,"Chicago, IL",Orthodontist,DSO,DMD with Specialization,Full-time,Large,Urban,No,4,84469.29
Diane Arnold,prestonmichael@example.org,"New York, NY",Periodontist,Private Practice,DDS,Part-time,Small,Rural,No,3,116278.91
Jennifer Shea,bchan@example.net,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,Part-time,Large,Rural,Yes,4,98320.76
Derrick Levy,hwright@example.org,"Chicago, IL",Periodontist,DSO,DDS,Temporary,Large,Urban,No,2,132013.36
Daniel Smith,patrickwright@example.com,"Chicago, IL",General Dentist,Private Practice,DDS with Specialization,Part-time,Medium,Urban,Yes,3,81691.2
Sarah Morrison,raymondkeith@example.com,"Houston, TX",Periodontist,DSO,DMD,Full-time,Large,Rural,Yes,5,141196.23
Elizabeth Mayo,richard99@example.org,"Phoenix, AZ",General Dentist,Private Practice,DDS with Specialization,Part-time,Medium,Urban,No,1,91347.69
Angela Pierce,carlsonsarah@example.net,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,Part-time,Large,Rural,No,1,140869.14
Jason Giles,pamela26@example.net,"Los Angeles, CA",Pedodontist,DSO,DDS with Specialization,Temporary,Small,Urban,No,5,112638.88
Steven Patel,kmcdonald@example.com,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,Contract,Medium,Urban,Yes,3,122694.34
Kyle Oneill,davisjerry@example.net,"Chicago, IL",Periodontist,Private Practice,DDS,Full-time,Small,Rural,No,2,108136.19
Austin Nguyen,oliverangelica@example.org,"New York, NY",Endodontist,DSO,DDS with Specialization,Contract,Small,Urban,No,3,97169.29
Sarah Blair,williammiller@example.net,"New York, NY",Orthodontist,DSO,DMD,Part-time,Small,Urban,Yes,5,93745.98
Thomas Edwards,rmccall@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,Temporary,Small,Urban,No,1,121686.05
Mrs. Carmen Strong,anthonybowman@example.org,"New York, NY",Endodontist,DSO,DMD with Specialization,Part-time,Medium,Urban,No,4,134095.09
Ms. Yesenia Irwin MD,george10@example.net,"New York, NY",Periodontist,DSO,DDS with Specialization,Temporary,Medium,Rural,No,1,141193.51
April Bates,christiansmith@example.net,"Houston, TX",Periodontist,DSO,DDS with Specialization,Contract,Small,Rural,Yes,3,121933.32
Mr. Patrick Andrews,hperez@example.org,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,Contract,Large,Rural,Yes,2,138320.7
Ian Archer,fking@example.com,"Phoenix, AZ",Periodontist,Private Practice,DMD,Part-time,Medium,Urban,No,5,103618.62
Luis Avila Jr.,jessicawolf@example.net,"New York, NY",Endodontist,Private Practice,DMD with Specialization,Full-time,Small,Urban,No,5,85446.19
David Kennedy,hbrown@example.net,"Houston, TX",Orthodontist,Private Practice,DMD with Specialization,Full-time,Small,Rural,No,3,118377.54
Tammy Thompson,qprince@example.net,"Chicago, IL",Orthodontist,DSO,DMD,Full-time,Small,Rural,Yes,1,109418.79
Beth Parker,chudson@example.org,"Phoenix, AZ",Orthodontist,DSO,DMD with Specialization,Full-time,Large,Urban,No,1,86086.18
Christopher Garza,tday@example.net,"Los Angeles, CA",Orthodontist,DSO,DDS,Temporary,Large,Urban,Yes,1,137564.74
Matthew Tapia,atkinsonmatthew@example.net,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,Temporary,Large,Urban,Yes,5,96720.58
Leslie Sullivan,michaeljordan@example.org,"New York, NY",Endodontist,DSO,DDS with Specialization,Full-time,Medium,Rural,No,4,134773.06
Justin Thomas,ohurley@example.org,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,Part-time,Medium,Urban,Yes,1,90932.87
Amanda Shelton,ohughes@example.com,"New York, NY",Orthodontist,Private Practice,DDS,Contract,Small,Rural,Yes,5,141705.41
Michelle Williams,wrodriguez@example.com,"Los Angeles, CA",General Dentist,DSO,DDS,Temporary,Small,Urban,No,3,137642.27
Christopher Marquez,savagemark@example.com,"Phoenix, AZ",Pedodontist,DSO,DMD,Contract,Medium,Urban,Yes,2,87421.73
Patrick Roberson,gonzalezchelsea@example.org,"Houston, TX",Endodontist,DSO,DDS,Contract,Small,Urban,No,3,102304.99
Arthur Wong,catherinejoseph@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS,Full-time,Small,Rural,Yes,5,141045.83
Stephanie Schwartz,ronaldmartin@example.org,"Chicago, IL",Periodontist,Private Practice,DDS with Specialization,Full-time,Small,Urban,Yes,2,136923.8
Jeffrey Frey,westmonica@example.org,"Chicago, IL",Periodontist,DSO,DMD,Contract,Small,Rural,Yes,2,106120.64
Jocelyn Hess,dominique21@example.net,"Los Angeles, CA",Endodontist,DSO,DMD,Full-time,Medium,Rural,No,3,139852.81
Johnny Mitchell,cesar47@example.net,"Houston, TX",Endodontist,DSO,DDS,Temporary,Medium,Rural,No,5,119881.52
Alexander Murray,iolson@example.com,"Los Angeles, CA",General Dentist,Private Practice,DDS,Temporary,Large,Urban,No,1,102685.66
Stacy Greene,ncoleman@example.org,"Chicago, IL",General Dentist,Private Practice,DMD,Full-time,Medium,Urban,No,5,106605.78
Rachel Good,bknox@example.org,"Houston, TX",Pedodontist,DSO,DDS,Part-time,Medium,Urban,No,2,121214.73
Rebecca Powers,lopezjoseph@example.com,"Houston, TX",Periodontist,Private Practice,DDS with Specialization,Part-time,Small,Rural,No,4,120481.88
Stephanie Hernandez,kathy86@example.org,"Houston, TX",Endodontist,DSO,DDS with Specialization,Contract,Small,Rural,Yes,2,95028.31
Andre Aguilar,erichernandez@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DMD,Temporary,Small,Urban,Yes,1,81459.74
Marie Perez,igibson@example.net,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,Contract,Medium,Rural,Yes,1,140599.85
Brian Edwards,hammondpatrick@example.com,"New York, NY",Orthodontist,DSO,DDS,Temporary,Medium,Urban,No,3,126641.93
Cynthia Alexander,paynejeff@example.com,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,Full-time,Small,Rural,No,1,85813.07
Michael Jones,james23@example.com,"Los Angeles, CA",Orthodontist,DSO,DMD,Contract,Small,Urban,Yes,2,102273.82
Mary Taylor,amorris@example.org,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,Temporary,Medium,Rural,Yes,4,105811.25
Michelle Lee MD,sweeneyleroy@example.com,"Phoenix, AZ",General Dentist,DSO,DMD,Part-time,Large,Rural,Yes,3,148847.04
Andrea Griffin,wendy24@example.org,"Chicago, IL",Endodontist,DSO,DMD,Contract,Large,Rural,Yes,3,82319.65
Allen King,simpsonjenny@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,Temporary,Large,Rural,Yes,5,80702.44
Michael Lee,xfigueroa@example.org,"Houston, TX",Pedodontist,DSO,DMD with Specialization,Full-time,Medium,Urban,Yes,1,122014.22
Bridget Lewis,kimtommy@example.org,"Houston, TX",Endodontist,DSO,DDS,Contract,Large,Rural,No,2,115185.13
Jerry Hodge,cfreeman@example.com,"Los Angeles, CA",Pedodontist,DSO,DMD with Specialization,Full-time,Large,Urban,No,5,126170.76
Lauren Thomas,abrock@example.org,"Chicago, IL",Orthodontist,DSO,DMD with Specialization,Temporary,Small,Urban,Yes,3,129026.08
Olivia Davidson,mooreerica@example.org,"New York, NY",Periodontist,Private Practice,DMD with Specialization,Contract,Small,Rural,No,5,138542.57
Michele Oliver,jamieyoung@example.org,"Houston, TX",Endodontist,DSO,DMD,Contract,Small,Rural,No,4,121317.54
Richard Brock,hernandezwanda@example.com,"Phoenix, AZ",General Dentist,Private Practice,DDS with Specialization,Full-time,Small,Rural,Yes,1,113531.07
James Acosta,bennettkevin@example.org,"Houston, TX",General Dentist,DSO,DDS with Specialization,Contract,Medium,Rural,Yes,3,90097.62
William Stephens,christina54@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DMD,Part-time,Large,Urban,No,5,141707.79
Jeffrey Smith,cooleyerik@example.net,"Phoenix, AZ",Endodontist,Private Practice,DDS,Contract,Medium,Rural,No,2,119676.61
Jennifer Bradford,lphillips@example.net,"Los Angeles, CA",Endodontist,DSO,DMD,Part-time,Large,Urban,No,4,143327.9
Joseph Lewis,stanleybrandon@example.com,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,Contract,Large,Rural,Yes,1,97650.41
Sharon Price,bbell@example.com,"Houston, TX",Periodontist,DSO,DDS,Full-time,Medium,Urban,No,5,90992.61
Michelle Fischer,hancocktina@example.org,"Phoenix, AZ",Endodontist,Private Practice,DMD,Temporary,Large,Urban,Yes,1,137465.22
Marvin Lee,wbaker@example.com,"Houston, TX",Pedodontist,DSO,DMD with Specialization,Contract,Small,Rural,No,3,85587.63
Thomas Watts,anthony47@example.com,"New York, NY",Pedodontist,Private Practice,DDS,Part-time,Medium,Urban,No,4,146602.71
Crystal Johnston,pattonlinda@example.net,"New York, NY",Orthodontist,Private Practice,DMD,Temporary,Large,Urban,No,4,110564.54
Michael Diaz,xvasquez@example.net,"Houston, TX",Pedodontist,DSO,DDS,Part-time,Large,Rural,Yes,4,102510.08
Shannon Powell,sandracobb@example.com,"Chicago, IL",Pedodontist,DSO,DMD with Specialization,Part-time,Medium,Rural,Yes,3,90475.29
Paul Tucker,brandon12@example.net,"Houston, TX",Periodontist,Private Practice,DMD with Specialization,Full-time,Large,Urban,No,2,121629.07
Heather Hicks,hayesjustin@example.com,"New York, NY",Orthodontist,DSO,DMD with Specialization,Full-time,Large,Urban,No,4,96867.08
Shannon Peters,sfriedman@example.net,"Chicago, IL",General Dentist,Private Practice,DDS,Part-time,Medium,Rural,Yes,1,149861.0
Cory Hernandez,andersonbrett@example.com,"Chicago, IL",Pedodontist,DSO,DMD with Specialization,Temporary,Medium,Urban,No,3,112111.95
Jean Taylor,kirk36@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS,Contract,Large,Urban,Yes,1,81667.17
Emily Allen,haley36@example.net,"Houston, TX",Orthodontist,Private Practice,DDS,Temporary,Large,Urban,Yes,4,110288.46
Tina Foster,rshepherd@example.net,"New York, NY",Orthodontist,DSO,DMD,Full-time,Small,Urban,Yes,1,112336.42
Bruce Hester,flowerslori@example.org,"New York, NY",Periodontist,DSO,DDS with Specialization,Temporary,Medium,Urban,No,4,132045.15
Jill Phillips,jonathon23@example.org,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,Part-time,Large,Urban,Yes,4,143860.54
Scott Lindsey,warddustin@example.org,"Chicago, IL",Orthodontist,DSO,DMD with Specialization,Contract,Medium,Rural,Yes,2,134195.95
Marie Perkins,adrienne86@example.net,"Houston, TX",General Dentist,DSO,DDS,Temporary,Large,Urban,No,3,88141.13
Alicia Gilbert,denise00@example.com,"Los Angeles, CA",Endodontist,DSO,DDS with Specialization,Part-time,Small,Urban,Yes,1,100991.49
Cheryl Smith,jamesmiller@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS,Part-time,Medium,Urban,Yes,1,129670.61
Courtney Hutchinson,johnlewis@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DMD with Specialization,Temporary,Medium,Rural,Yes,3,116499.33
Steven Smith,jennifer04@example.com,"Chicago, IL",General Dentist,DSO,DDS,Contract,Small,Urban,Yes,2,120180.27
Daniel Smith,michellebond@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,Part-time,Small,Urban,Yes,5,130872.19
Steven Pennington,lfuentes@example.net,"Los Angeles, CA",Periodontist,DSO,DDS,Part-time,Medium,Rural,No,3,135693.84
Mrs. Julie Hall,rachelthompson@example.org,"Chicago, IL",Endodontist,Private Practice,DDS,Temporary,Medium,Rural,Yes,5,99919.95
Michael Cooper II,parkerjoseph@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS with Specialization,Part-time,Medium,Urban,Yes,4,129655.7
Sue Parker,diazpamela@example.net,"New York, NY",Pedodontist,Private Practice,DMD with Specialization,Temporary,Large,Urban,No,1,112146.02
Mr. James Weaver,monicaadams@example.net,"Houston, TX",General Dentist,DSO,DDS,Temporary,Medium,Urban,No,5,117776.19
Chad Reyes,billphillips@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS,Contract,Large,Urban,No,3,119427.56
Jeffrey Mccarthy,andersonkyle@example.org,"Houston, TX",Periodontist,Private Practice,DDS with Specialization,Temporary,Medium,Rural,No,5,82618.8
Mrs. Susan Ruiz,fernando65@example.org,"New York, NY",Periodontist,DSO,DDS with Specialization,Full-time,Medium,Urban,No,3,102347.06
Robert Hanson,trujillojeremy@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DMD,Contract,Medium,Urban,Yes,2,90026.45
Richard Lee,javiermurray@example.org,"New York, NY",Periodontist,Private Practice,DDS with Specialization,Temporary,Large,Rural,Yes,5,91459.59
Corey Mccann,paul28@example.org,"New York, NY",Endodontist,Private Practice,DMD,Part-time,Large,Urban,Yes,1,83135.47
Benjamin Jones,robert23@example.com,"Phoenix, AZ",Periodontist,DSO,DMD,Contract,Small,Urban,No,2,94830.22
Chris Collins,taylorscott@example.com,"Chicago, IL",Periodontist,DSO,DDS,Part-time,Large,Rural,Yes,2,100105.34
Zachary Murphy,james11@example.org,"Chicago, IL",General Dentist,Private Practice,DMD with Specialization,Part-time,Large,Urban,No,2,127850.95
Claire Smith,kathyellis@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,Contract,Large,Rural,No,5,136448.94
Jessica Woods,meyersdaniel@example.org,"Houston, TX",Orthodontist,DSO,DDS with Specialization,Part-time,Large,Urban,No,5,86356.44
Frank Wright,zgonzalez@example.com,"Los Angeles, CA",Periodontist,DSO,DMD with Specialization,Full-time,Small,Rural,Yes,4,119110.0
Richard Hayden,kevinrivas@example.net,"New York, NY",General Dentist,Private Practice,DMD,Full-time,Medium,Urban,Yes,2,88813.57
Jesse Montoya,melanie43@example.net,"New York, NY",General Dentist,DSO,DMD,Full-time,Large,Urban,Yes,4,99038.54
Tyrone Robbins,qsmith@example.net,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,Full-time,Large,Urban,No,4,110703.57
Eric Klein,jennifer07@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,Temporary,Small,Rural,Yes,3,100832.62
Jason Marquez,ronnieclark@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,Full-time,Large,Urban,Yes,1,99277.02
Emily Morse,markwilson@example.net,"Houston, TX",General Dentist,DSO,DDS with Specialization,Contract,Medium,Urban,No,4,143661.42
Tammy Newman,brownjudy@example.org,"Houston, TX",General Dentist,Private Practice,DDS,Contract,Large,Urban,No,4,123349.31
Aaron Kidd,scherry@example.com,"Chicago, IL",Periodontist,DSO,DDS,Part-time,Medium,Rural,Yes,1,146388.59
Jill Fritz,jason00@example.net,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,Temporary,Small,Rural,Yes,5,138586.01
Crystal Wang,sarah65@example.net,"New York, NY",Endodontist,Private Practice,DMD,Full-time,Medium,Urban,Yes,5,137001.96
Casey Dorsey Jr.,barnettshannon@example.org,"Chicago, IL",General Dentist,DSO,DDS with Specialization,Temporary,Small,Rural,Yes,5,82202.82
Robert Garcia,hwilson@example.com,"New York, NY",Periodontist,Private Practice,DDS with Specialization,Full-time,Small,Urban,Yes,3,113755.27
Mark Liu,katieandrews@example.org,"Phoenix, AZ",Periodontist,Private Practice,DMD with Specialization,Temporary,Medium,Urban,Yes,1,114260.65
