Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Nicole Nunez,xcannon@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DDS,2,Temporary,Large,Urban,True,Proficient,124243.46,456.78,Draw,,,,The collection details,10000.0,2000.0
Allison Brooks,therrera@example.com,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,5,Contract,Medium,Rural,True,Basic,124272.23,456.88,Guaranteed,,,30.0,The collection details,,4000.0
Eric Lewis,hendrixmisty@example.com,"Houston, TX",Orthodontist,Private Practice,DMD,4,Contract,Large,Urban,True,Proficient,115849.11,425.92,Draw - Term More than 1 year,15.0,The production details,50.0,The collection details,5000.0,4000.0
Amy Martinez,hansonshelley@example.net,"Houston, TX",General Dentist,DSO,DDS,5,Contract,Small,Rural,False,Proficient,111228.6,408.93,Guaranteed,40.0,The production details,,,10000.0,4000.0
Dawn Davis,zrichardson@example.org,"Houston, TX",Orthodontist,Private Practice,DMD,10,Temporary,Small,Urban,True,Fluent,144709.46,532.02,Draw,15.0,The production details,20.0,,,
Susan Lloyd,shawngarcia@example.org,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,16,Full-time,Medium,Rural,False,Proficient,109742.68,403.47,Guaranteed,,The production details,20.0,,15000.0,2000.0
Jason Sanders,smithsamantha@example.com,"Houston, TX",Periodontist,DSO,DMD,23,Full-time,Small,Rural,False,Native,126919.21,466.61,Draw - Term More than 1 year,30.0,,,,,6000.0
Madeline Davis,tina45@example.com,"New York, NY",General Dentist,DSO,DMD,26,Contract,Medium,Urban,True,Proficient,130557.37,479.99,Guaranteed,20.0,,,The collection details,,
Brittney Fitzgerald,lewisryan@example.org,"New York, NY",Pedodontist,DSO,DMD,10,Temporary,Small,Rural,True,Basic,80128.29,294.59,Draw - Term More than 1 year,,The production details,15.0,The collection details,15000.0,2000.0
Jonathan Brady,alexanderburns@example.org,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,10,Temporary,Medium,Urban,False,Native,115420.57,424.34,Draw,30.0,,25.0,,5000.0,
Nicole Shah,pdavis@example.net,"New York, NY",General Dentist,DSO,DMD with Specialization,5,Contract,Large,Rural,False,Fluent,87921.19,323.24,Draw - Term More than 1 year,,,,,15000.0,2000.0
Robert Williams,michellejones@example.org,"Los Angeles, CA",General Dentist,DSO,DMD,18,Temporary,Small,Rural,False,Basic,125753.79,462.33,Draw,40.0,,40.0,,15000.0,4000.0
William Brewer,jason90@example.net,"Chicago, IL",Orthodontist,Private Practice,DDS,25,Temporary,Medium,Urban,False,Proficient,146849.09,539.89,Draw,15.0,The production details,,The collection details,10000.0,4000.0
Oscar Munoz,mcclurewillie@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,14,Full-time,Medium,Urban,True,Native,111236.28,408.96,Draw,25.0,The production details,30.0,,5000.0,2000.0
Molly Bishop,williamglenn@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS,11,Part-time,Medium,Urban,True,Basic,82882.96,304.72,Guaranteed,,The production details,30.0,,,6000.0
Shelby Harvey,tasha01@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,12,Temporary,Small,Rural,False,Fluent,129238.43,475.14,Guaranteed,25.0,The production details,10.0,,10000.0,4000.0
Katherine Cook,toni74@example.org,"Houston, TX",Periodontist,DSO,DDS with Specialization,21,Part-time,Medium,Urban,True,Proficient,131710.7,484.23,Guaranteed,20.0,,,,,
Angela Willis,kanemelissa@example.com,"Los Angeles, CA",Pedodontist,DSO,DDS,23,Temporary,Large,Urban,False,Native,136909.69,503.34,Guaranteed,20.0,,,,5000.0,2000.0
Tammy Russell,franciscobender@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,28,Part-time,Large,Urban,False,Basic,111001.13,408.09,Draw,30.0,,10.0,,,
Andrew Johnson,jamie17@example.com,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,29,Full-time,Medium,Rural,True,Fluent,86845.09,319.28,Draw - Term More than 1 year,,,,,,4000.0
Lisa Hammond,aprilthomas@example.org,"Houston, TX",Pedodontist,DSO,DMD,1,Contract,Small,Urban,False,Native,145903.56,536.41,Draw,,,40.0,,,2000.0
Kevin Miller DVM,karlasweeney@example.com,"Chicago, IL",General Dentist,DSO,DMD,29,Temporary,Large,Rural,True,Proficient,97182.98,357.29,Guaranteed,,The production details,10.0,,15000.0,6000.0
Elizabeth Guerra,sandrajohnson@example.net,"Chicago, IL",Periodontist,Private Practice,DMD with Specialization,12,Contract,Small,Urban,True,Fluent,103759.73,381.47,Guaranteed,50.0,,40.0,,,6000.0
Kristina Mullins,iwalker@example.net,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,20,Part-time,Small,Urban,False,Native,102526.93,376.94,Draw - Term Less than 1 year,,,50.0,The collection details,,2000.0
Anthony Torres,frank98@example.com,"New York, NY",Orthodontist,Private Practice,DMD,7,Full-time,Large,Rural,False,Proficient,136101.69,500.37,Guaranteed,,,20.0,The collection details,5000.0,4000.0
Shannon Taylor,rjohnson@example.net,"Houston, TX",Endodontist,Private Practice,DDS,29,Full-time,Large,Rural,True,Native,146599.8,538.97,Guaranteed,10.0,The production details,25.0,,,6000.0
Richard Davis,mmerritt@example.com,"New York, NY",Periodontist,DSO,DMD with Specialization,14,Temporary,Medium,Rural,False,Fluent,101284.74,372.37,Draw - Term Less than 1 year,20.0,,15.0,,,4000.0
Julie Lambert,pstewart@example.org,"Houston, TX",Periodontist,Private Practice,DDS with Specialization,17,Part-time,Large,Rural,True,Native,126271.17,464.23,Guaranteed,20.0,,,,,2000.0
David Burgess,michelle70@example.com,"Houston, TX",General Dentist,Private Practice,DDS,9,Contract,Large,Urban,True,Basic,106136.8,390.21,Draw - Term Less than 1 year,25.0,,40.0,,15000.0,6000.0
Steven Wood,jessica29@example.org,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,23,Temporary,Medium,Rural,True,Basic,103412.37,380.19,Draw - Term Less than 1 year,40.0,The production details,20.0,The collection details,,4000.0
Christopher Reed,jacobbrooks@example.org,"Phoenix, AZ",General Dentist,DSO,DDS,23,Temporary,Medium,Urban,True,Native,118363.62,435.16,Guaranteed,40.0,,25.0,,10000.0,2000.0
Jason Miller,paulsharp@example.com,"Los Angeles, CA",Endodontist,DSO,DDS with Specialization,3,Temporary,Medium,Rural,True,Native,126240.95,464.12,Draw - Term Less than 1 year,40.0,,,,15000.0,6000.0
Jeffrey Mitchell,garciadana@example.org,"Houston, TX",Orthodontist,DSO,DMD with Specialization,15,Contract,Small,Rural,False,Fluent,147689.85,542.98,Draw - Term Less than 1 year,25.0,,,,15000.0,4000.0
Mandy Powers,theodore55@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,1,Temporary,Medium,Urban,True,Native,124567.26,457.97,Draw,50.0,,40.0,,15000.0,6000.0
Nancy Hernandez,jose98@example.com,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,11,Contract,Medium,Urban,False,Native,89944.39,330.68,Guaranteed,,,,The collection details,10000.0,4000.0
Mrs. Kathleen Martinez,kyle76@example.org,"Chicago, IL",Endodontist,DSO,DMD,27,Part-time,Medium,Rural,False,Fluent,139478.81,512.79,Draw,10.0,,20.0,The collection details,10000.0,4000.0
Dr. Robert Gutierrez,uwolf@example.net,"Chicago, IL",General Dentist,DSO,DMD with Specialization,30,Temporary,Small,Urban,True,Proficient,149353.02,549.09,Guaranteed,30.0,,,,,6000.0
Megan Smith,jennifer65@example.com,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,6,Contract,Large,Urban,True,Basic,145849.5,536.21,Guaranteed,30.0,,,,5000.0,2000.0
Darrell Vargas,cbrock@example.net,"New York, NY",Orthodontist,DSO,DMD,22,Part-time,Small,Urban,False,Fluent,90742.81,333.61,Draw - Term Less than 1 year,40.0,The production details,,,10000.0,4000.0
Robert Grant,michael88@example.com,"Los Angeles, CA",Endodontist,DSO,DDS,2,Temporary,Small,Rural,True,Proficient,99166.48,364.58,Draw - Term More than 1 year,,The production details,25.0,,5000.0,2000.0
Linda Johnson,christopher69@example.net,"Chicago, IL",General Dentist,Private Practice,DDS with Specialization,13,Temporary,Medium,Urban,True,Fluent,142042.0,522.21,Draw,25.0,The production details,,,5000.0,2000.0
Chris Ramirez,kayla65@example.org,"Chicago, IL",General Dentist,Private Practice,DDS with Specialization,2,Part-time,Medium,Rural,True,Fluent,106324.51,390.9,Guaranteed,20.0,The production details,10.0,The collection details,5000.0,4000.0
Kevin Stone,ifernandez@example.net,"Houston, TX",General Dentist,DSO,DMD,28,Temporary,Small,Urban,True,Proficient,118549.02,435.84,Guaranteed,20.0,The production details,20.0,,10000.0,
Jessica Bryan,gonzalezjohn@example.com,"Los Angeles, CA",Periodontist,DSO,DDS,26,Full-time,Large,Urban,True,Fluent,122767.29,451.35,Draw - Term Less than 1 year,,The production details,15.0,,5000.0,2000.0
Daniel Hines,adamnicholson@example.com,"Houston, TX",Endodontist,DSO,DMD,16,Temporary,Large,Rural,False,Native,87377.42,321.24,Draw - Term Less than 1 year,40.0,,,,5000.0,6000.0
Jennifer Russell,gibsonrandall@example.com,"Houston, TX",Endodontist,Private Practice,DDS,0,Part-time,Medium,Urban,True,Proficient,127200.95,467.65,Draw,,,30.0,The collection details,5000.0,
Holly Patton,yulaurie@example.com,"New York, NY",Endodontist,Private Practice,DDS with Specialization,14,Contract,Small,Urban,False,Fluent,89883.95,330.46,Draw,10.0,,,The collection details,,6000.0
Kristina Palmer,steven31@example.net,"Phoenix, AZ",General Dentist,Private Practice,DDS with Specialization,4,Full-time,Small,Rural,True,Fluent,101523.65,373.25,Guaranteed,,The production details,20.0,The collection details,10000.0,
Lori Mann,greenkatherine@example.com,"New York, NY",Periodontist,Private Practice,DMD with Specialization,3,Contract,Small,Urban,True,Native,128633.77,472.92,Draw,,,,,15000.0,4000.0
Linda Johnson,heidibartlett@example.net,"Phoenix, AZ",General Dentist,DSO,DDS,0,Temporary,Small,Rural,False,Fluent,87272.05,320.85,Draw - Term More than 1 year,25.0,,,The collection details,,2000.0
Jennifer Rodriguez,jasonbender@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,1,Part-time,Small,Urban,False,Proficient,82670.38,303.94,Draw - Term More than 1 year,15.0,,40.0,,15000.0,6000.0
Michele Irwin,bryan87@example.org,"Phoenix, AZ",Pedodontist,DSO,DMD,15,Full-time,Large,Urban,False,Fluent,89235.82,328.07,Draw - Term More than 1 year,10.0,The production details,,,10000.0,
Lonnie Wilkins,karen38@example.org,"Chicago, IL",Endodontist,Private Practice,DMD,5,Full-time,Small,Rural,True,Native,107151.24,393.94,Draw,,,15.0,The collection details,15000.0,
Michael Figueroa,matthewsmith@example.org,"Chicago, IL",Pedodontist,Private Practice,DDS,23,Contract,Small,Urban,False,Proficient,142515.22,523.95,Draw - Term Less than 1 year,50.0,,10.0,The collection details,15000.0,2000.0
Jonathan Cooley,briansoto@example.net,"Los Angeles, CA",Endodontist,DSO,DMD with Specialization,17,Full-time,Medium,Rural,False,Basic,97022.0,356.7,Draw,25.0,,10.0,The collection details,5000.0,2000.0
Amanda Adams,jamie04@example.org,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,30,Full-time,Large,Urban,True,Fluent,141514.71,520.27,Draw - Term More than 1 year,,The production details,,,10000.0,
Gabriel Miller,qperez@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS,7,Contract,Small,Rural,False,Basic,123222.67,453.02,Guaranteed,,,20.0,The collection details,5000.0,
Kimberly Ellis,kennethflores@example.com,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,25,Contract,Medium,Urban,True,Proficient,98728.51,362.97,Draw - Term Less than 1 year,50.0,,25.0,The collection details,10000.0,4000.0
Mary Wilson,taylortracy@example.net,"New York, NY",General Dentist,Private Practice,DMD,25,Contract,Large,Rural,True,Fluent,101363.71,372.66,Draw - Term More than 1 year,50.0,,25.0,The collection details,10000.0,4000.0
Daryl Howard,huertascott@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,18,Contract,Large,Rural,False,Fluent,83311.33,306.29,Guaranteed,,,25.0,The collection details,10000.0,
Jesus Byrd,haileymoreno@example.org,"Chicago, IL",Periodontist,Private Practice,DDS,16,Contract,Large,Urban,True,Fluent,80159.23,294.7,Draw,,,,,5000.0,6000.0
John Miller,sweeneyalexis@example.com,"Los Angeles, CA",General Dentist,DSO,DMD with Specialization,17,Part-time,Medium,Rural,False,Proficient,97615.02,358.88,Draw,15.0,,30.0,The collection details,,2000.0
Larry Ruiz,kristin13@example.com,"Phoenix, AZ",Periodontist,Private Practice,DMD with Specialization,16,Contract,Large,Urban,True,Native,141452.33,520.05,Draw - Term More than 1 year,,,25.0,The collection details,5000.0,
Paul Sosa,christopherbeltran@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DMD,5,Full-time,Medium,Urban,True,Proficient,107673.3,395.86,Draw,20.0,,,The collection details,15000.0,
Mark Gross MD,tracymcintosh@example.com,"Phoenix, AZ",Orthodontist,DSO,DDS with Specialization,6,Full-time,Small,Rural,False,Native,122873.17,451.74,Draw,40.0,,30.0,The collection details,15000.0,6000.0
Matthew Jenkins,john19@example.org,"New York, NY",Orthodontist,DSO,DMD with Specialization,0,Temporary,Large,Rural,True,Native,136612.02,502.25,Guaranteed,50.0,,,,10000.0,6000.0
Carlos Kim,clarklaura@example.org,"Houston, TX",Pedodontist,DSO,DDS,11,Full-time,Small,Rural,False,Fluent,83189.14,305.84,Draw,30.0,The production details,20.0,The collection details,,
Michael Smith,martincourtney@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS with Specialization,20,Part-time,Medium,Rural,False,Native,90610.9,333.13,Draw,,,15.0,,10000.0,6000.0
Holly Hicks,nicholas34@example.net,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,24,Full-time,Small,Rural,False,Proficient,93189.01,342.61,Draw - Term Less than 1 year,,,25.0,,,
Regina Singh,austin27@example.com,"New York, NY",Orthodontist,DSO,DMD with Specialization,18,Temporary,Small,Rural,True,Native,86765.82,318.99,Draw - Term More than 1 year,,,,,10000.0,2000.0
Seth Patterson,qgarner@example.net,"Phoenix, AZ",Periodontist,DSO,DMD,22,Temporary,Large,Urban,True,Proficient,142790.93,524.97,Draw,40.0,,50.0,,,
Tommy Vega,denisemathis@example.net,"Chicago, IL",General Dentist,Private Practice,DMD with Specialization,4,Contract,Medium,Urban,True,Proficient,103504.83,380.53,Draw,,The production details,15.0,,,6000.0
Lisa Hawkins,elizabethwilson@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD,23,Temporary,Medium,Urban,True,Native,138340.37,508.6,Draw,,The production details,,,10000.0,2000.0
Lindsey Moyer,michael23@example.org,"Houston, TX",Orthodontist,Private Practice,DMD,23,Part-time,Large,Urban,False,Fluent,110956.16,407.93,Draw,,,,,,
Carl Hernandez,myersstephanie@example.org,"Houston, TX",Pedodontist,Private Practice,DDS with Specialization,5,Full-time,Medium,Rural,True,Native,98188.05,360.99,Guaranteed,,,,The collection details,5000.0,
Lauren Hunt,william00@example.org,"Houston, TX",Orthodontist,DSO,DDS with Specialization,9,Contract,Medium,Urban,False,Basic,81707.74,300.4,Draw - Term More than 1 year,25.0,,40.0,,15000.0,6000.0
Sydney Hunter,fmccarthy@example.org,"Houston, TX",Pedodontist,Private Practice,DDS with Specialization,16,Contract,Small,Urban,True,Fluent,137832.31,506.74,Guaranteed,50.0,,,,15000.0,
Ryan Cooper,glang@example.com,"Los Angeles, CA",Endodontist,DSO,DMD,11,Full-time,Small,Urban,False,Native,100056.28,367.85,Draw,15.0,,15.0,The collection details,5000.0,
Carlos Green,michaelcarter@example.org,"New York, NY",Orthodontist,DSO,DDS with Specialization,10,Part-time,Medium,Rural,True,Proficient,115112.55,423.21,Guaranteed,25.0,,,The collection details,15000.0,2000.0
Matthew Barnes,richard33@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS,11,Temporary,Small,Urban,True,Fluent,97902.58,359.94,Draw - Term More than 1 year,,,50.0,The collection details,,6000.0
Renee Hayes,imora@example.net,"Los Angeles, CA",Endodontist,DSO,DMD,20,Full-time,Small,Urban,True,Proficient,109000.69,400.74,Draw - Term Less than 1 year,,The production details,10.0,The collection details,5000.0,2000.0
Latoya Morales,cookjessica@example.org,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,1,Temporary,Medium,Urban,True,Proficient,114797.33,422.05,Draw - Term Less than 1 year,,,20.0,,,2000.0
Molly Rios,sanchezpaul@example.net,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,27,Full-time,Small,Rural,True,Basic,102494.99,376.82,Draw,25.0,The production details,10.0,,5000.0,
Jennifer Hayes,cortezkathleen@example.com,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,13,Full-time,Small,Rural,False,Native,124783.97,458.76,Guaranteed,25.0,,15.0,,15000.0,6000.0
Erika Richardson,christinaroach@example.org,"Houston, TX",Pedodontist,Private Practice,DMD with Specialization,16,Contract,Large,Rural,False,Native,99526.59,365.91,Draw - Term Less than 1 year,30.0,,15.0,,10000.0,
Michael Santana,jordansamantha@example.org,"New York, NY",Periodontist,DSO,DMD with Specialization,28,Full-time,Large,Rural,False,Proficient,134444.6,494.28,Guaranteed,25.0,,25.0,,,6000.0
Brandon Lee,griffinrebecca@example.org,"New York, NY",Orthodontist,DSO,DDS with Specialization,5,Temporary,Large,Urban,False,Basic,111837.06,411.17,Draw - Term Less than 1 year,25.0,,10.0,The collection details,10000.0,6000.0
Charles Cervantes,amanda26@example.net,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,27,Full-time,Large,Urban,False,Basic,122744.99,451.27,Draw,,The production details,25.0,,5000.0,
Teresa Jones,stacy38@example.net,"Chicago, IL",Endodontist,Private Practice,DMD,11,Contract,Medium,Urban,False,Proficient,95313.41,350.42,Guaranteed,25.0,,50.0,,15000.0,6000.0
Christine Wilson,keith28@example.org,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,13,Temporary,Large,Urban,True,Native,145342.97,534.35,Guaranteed,10.0,,,,,2000.0
Edwin Finley,belldiana@example.org,"Houston, TX",General Dentist,DSO,DMD with Specialization,17,Full-time,Small,Rural,False,Basic,122612.23,450.78,Draw,30.0,,,,10000.0,6000.0
Cody Davis,kimlee@example.com,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,6,Temporary,Medium,Urban,False,Proficient,120636.28,443.52,Draw,25.0,The production details,50.0,The collection details,15000.0,2000.0
Robyn Russell,koneill@example.net,"Chicago, IL",Periodontist,DSO,DMD,10,Temporary,Large,Rural,False,Native,85753.37,315.27,Draw - Term Less than 1 year,20.0,,20.0,,15000.0,4000.0
Jacqueline Green,donalddoyle@example.com,"Chicago, IL",Pedodontist,DSO,DDS,16,Part-time,Medium,Rural,True,Fluent,80688.64,296.65,Guaranteed,10.0,,10.0,The collection details,5000.0,4000.0
Jennifer Guerrero,michael19@example.net,"Chicago, IL",General Dentist,Private Practice,DMD with Specialization,27,Contract,Medium,Rural,False,Proficient,97695.44,359.17,Draw,40.0,,40.0,,15000.0,
Ricky Robinson,amarquez@example.org,"Los Angeles, CA",General Dentist,DSO,DMD,9,Temporary,Medium,Urban,False,Fluent,128149.55,471.14,Draw - Term More than 1 year,10.0,,,,5000.0,4000.0
James Grimes,thoward@example.com,"Houston, TX",General Dentist,Private Practice,DDS with Specialization,16,Contract,Large,Rural,True,Fluent,144436.17,531.02,Draw - Term More than 1 year,15.0,,,The collection details,5000.0,2000.0
Hannah Lee,millerjennifer@example.org,"Los Angeles, CA",General Dentist,DSO,DDS,0,Temporary,Medium,Rural,False,Basic,123387.12,453.63,Draw - Term Less than 1 year,30.0,,25.0,,10000.0,4000.0
Dr. Victor Manning DDS,garciajacob@example.com,"Houston, TX",Pedodontist,DSO,DMD,12,Contract,Large,Rural,False,Basic,96492.7,354.75,Draw - Term Less than 1 year,15.0,The production details,25.0,,15000.0,6000.0
Alexa Jackson,jhunter@example.net,"Houston, TX",Orthodontist,Private Practice,DMD with Specialization,0,Temporary,Medium,Rural,True,Native,145257.86,534.04,Guaranteed,10.0,The production details,,The collection details,,2000.0
Leslie Obrien,bprice@example.org,"Houston, TX",Endodontist,DSO,DDS,9,Temporary,Small,Urban,False,Native,107021.55,393.46,Draw - Term Less than 1 year,25.0,The production details,25.0,,,2000.0
Michael Cohen,barrybrewer@example.com,"Houston, TX",Periodontist,DSO,DMD with Specialization,9,Temporary,Small,Urban,False,Fluent,84374.74,310.2,Guaranteed,25.0,,,,10000.0,2000.0
Maria Krause,bradynorma@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS with Specialization,21,Temporary,Medium,Rural,True,Fluent,117213.91,430.93,Guaranteed,40.0,The production details,,The collection details,,2000.0
Jacqueline Lee,harriskristi@example.net,"Chicago, IL",Endodontist,DSO,DDS,24,Contract,Large,Rural,False,Basic,112073.53,412.04,Draw,15.0,,,The collection details,15000.0,2000.0
David Richardson,mary08@example.com,"New York, NY",Pedodontist,DSO,DDS,29,Full-time,Large,Rural,False,Basic,89738.37,329.92,Guaranteed,,The production details,,The collection details,15000.0,
Christine Reese,lee05@example.net,"Phoenix, AZ",Endodontist,DSO,DDS with Specialization,17,Contract,Large,Rural,False,Basic,112228.04,412.6,Draw,,,,The collection details,15000.0,6000.0
Anthony Baker,stewartdavid@example.org,"Los Angeles, CA",Periodontist,Private Practice,DMD,8,Contract,Medium,Rural,False,Native,102947.96,378.49,Guaranteed,25.0,,20.0,,5000.0,
Juan Black,angela82@example.org,"Houston, TX",General Dentist,Private Practice,DMD with Specialization,2,Temporary,Small,Urban,True,Native,142903.02,525.38,Draw - Term Less than 1 year,10.0,,,The collection details,10000.0,
Erin Miller,rodriguezmarcus@example.com,"Phoenix, AZ",Pedodontist,DSO,DMD,22,Full-time,Large,Rural,False,Native,129797.74,477.2,Guaranteed,,The production details,,The collection details,10000.0,
Matthew Monroe,mcalderon@example.org,"New York, NY",Endodontist,DSO,DDS,20,Part-time,Small,Rural,True,Basic,136251.29,500.92,Draw - Term More than 1 year,20.0,The production details,30.0,,,4000.0
Hannah Pearson,hardycaitlin@example.org,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,22,Contract,Large,Rural,True,Proficient,91738.99,337.28,Draw - Term Less than 1 year,50.0,,25.0,The collection details,10000.0,
Mr. David Herrera MD,samantha19@example.org,"New York, NY",Orthodontist,Private Practice,DDS with Specialization,14,Temporary,Large,Urban,True,Basic,88564.95,325.61,Draw - Term Less than 1 year,,The production details,15.0,The collection details,,
Michael Bray,rterry@example.net,"Phoenix, AZ",General Dentist,Private Practice,DMD with Specialization,10,Part-time,Medium,Rural,True,Proficient,148097.47,544.48,Guaranteed,20.0,The production details,25.0,,10000.0,2000.0
Lawrence Kline,msnyder@example.org,"Houston, TX",Orthodontist,DSO,DMD,4,Contract,Medium,Urban,True,Native,89881.57,330.45,Guaranteed,25.0,,40.0,The collection details,10000.0,2000.0
Kristina Stevenson,meganshepherd@example.org,"New York, NY",General Dentist,DSO,DMD with Specialization,10,Full-time,Medium,Rural,False,Fluent,129817.05,477.27,Draw - Term Less than 1 year,,,,,15000.0,2000.0
Stephanie Luna,yfrancis@example.org,"Houston, TX",General Dentist,DSO,DDS with Specialization,5,Temporary,Large,Urban,True,Native,105966.69,389.58,Guaranteed,20.0,,,,,
Ashlee Woodard,troyjones@example.net,"Houston, TX",Periodontist,Private Practice,DDS,28,Part-time,Small,Rural,False,Proficient,111962.09,411.63,Guaranteed,,,,The collection details,10000.0,4000.0
Jacob Munoz,mowens@example.net,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,6,Contract,Large,Rural,False,Basic,124138.14,456.39,Draw,40.0,,15.0,,,6000.0
Richard Stevenson,parkerdonna@example.org,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,25,Part-time,Large,Urban,False,Proficient,97578.46,358.74,Draw - Term Less than 1 year,25.0,The production details,15.0,The collection details,10000.0,
Sean Lee,eric13@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD with Specialization,25,Contract,Small,Urban,False,Native,120429.67,442.76,Draw - Term Less than 1 year,,,,,,
Sharon Ball,zoconnor@example.net,"Houston, TX",Orthodontist,DSO,DMD,8,Full-time,Large,Urban,False,Fluent,131421.64,483.17,Guaranteed,20.0,The production details,25.0,,10000.0,
Jessica Livingston,pbeltran@example.net,"New York, NY",General Dentist,DSO,DMD,4,Temporary,Small,Rural,False,Native,93375.52,343.29,Draw - Term More than 1 year,,,,The collection details,,6000.0
Travis Reed,howardtiffany@example.com,"New York, NY",General Dentist,DSO,DMD,11,Temporary,Medium,Urban,True,Native,95758.93,352.05,Draw - Term More than 1 year,10.0,The production details,15.0,The collection details,5000.0,2000.0
Joseph Johnson,cody26@example.org,"New York, NY",Endodontist,DSO,DDS,14,Part-time,Medium,Rural,False,Proficient,132370.56,486.66,Draw - Term Less than 1 year,25.0,The production details,,,15000.0,6000.0
George Palmer,cookleah@example.net,"Houston, TX",Pedodontist,DSO,DDS,10,Temporary,Medium,Urban,True,Basic,91002.58,334.57,Guaranteed,15.0,The production details,,,10000.0,4000.0
Mary Brooks,madisonshelton@example.net,"New York, NY",Orthodontist,Private Practice,DDS,13,Full-time,Medium,Rural,False,Fluent,143902.74,529.05,Guaranteed,10.0,The production details,10.0,,5000.0,2000.0
Brianna Cunningham,toddcoleman@example.org,"Houston, TX",Periodontist,DSO,DMD with Specialization,30,Temporary,Small,Urban,False,Proficient,128989.01,474.22,Guaranteed,20.0,,,,,4000.0
Laura Ferrell,powens@example.org,"Chicago, IL",Endodontist,DSO,DDS with Specialization,0,Contract,Large,Urban,True,Native,97036.47,356.75,Draw - Term More than 1 year,,,,The collection details,5000.0,6000.0
Gary Mcguire,petersonmaria@example.org,"New York, NY",Orthodontist,DSO,DMD,2,Part-time,Medium,Urban,False,Basic,117807.6,433.12,Draw - Term Less than 1 year,,,,,,4000.0
Laurie Davila,emilyblake@example.com,"Phoenix, AZ",Pedodontist,DSO,DMD,10,Temporary,Large,Rural,True,Proficient,88346.47,324.8,Draw - Term More than 1 year,,,,The collection details,15000.0,4000.0
Sharon Thompson,matthewsweeney@example.com,"Los Angeles, CA",General Dentist,DSO,DMD,1,Part-time,Small,Urban,True,Native,104267.66,383.34,Draw - Term More than 1 year,,The production details,,,5000.0,4000.0
Kaitlyn Haney,jamespalmer@example.com,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,14,Full-time,Medium,Rural,True,Fluent,108000.06,397.06,Guaranteed,20.0,The production details,,,10000.0,
Gregory Maldonado,michellerandall@example.com,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,27,Temporary,Medium,Urban,False,Native,133261.87,489.93,Draw - Term More than 1 year,50.0,The production details,25.0,,10000.0,4000.0
Zachary Arroyo,rachelcowan@example.com,"Chicago, IL",Periodontist,Private Practice,DMD with Specialization,1,Part-time,Small,Rural,True,Basic,89709.75,329.82,Draw - Term Less than 1 year,30.0,,15.0,,15000.0,6000.0
Colleen Hall,flynnaudrey@example.org,"Chicago, IL",Periodontist,Private Practice,DDS with Specialization,19,Part-time,Large,Urban,True,Fluent,111780.5,410.96,Guaranteed,30.0,,40.0,The collection details,10000.0,
Richard Evans,ryanmay@example.net,"Phoenix, AZ",General Dentist,DSO,DMD with Specialization,25,Full-time,Medium,Rural,False,Basic,142104.93,522.44,Draw - Term More than 1 year,15.0,The production details,15.0,,5000.0,2000.0
